dept_name,emp_no,first_name,last_name
Finance,11513,Otmar,Mahnke
Sales,11515,Ulf,Basawa
Human Resources,11518,Jinxi,Oxman
Development,11524,Xiadong,Standera
Marketing,11527,Alagu,Boyle
Production,11528,Zito,Dolinsky
Sales,11537,DAIDA,Pehl
Marketing,11554,Subhash,Taubenfeld
Human Resources,11554,Subhash,Taubenfeld
Human Resources,11555,Kotesh,Perfilyeva
Sales,11567,Teiji,Mitzlaff
Development,11568,Martins,Fujisaki
Finance,11603,Herb,Swen
Production,11607,Tomokazu,Foong
Sales,11615,Shem,Isaak
Production,11624,Adil,Gammage
Development,11628,Fan,Malinowski
Research,11628,Fan,Malinowski
Development,11640,Valeri,Coorg
Development,11647,Magy,Nitsche
Sales,11660,Gill,Stenning
Production,11673,Henk,Felder
Production,11676,Valeri,Ferriere
Production,11681,Fumitake,Benzmuller
Marketing,11684,Oksana,Gide
Sales,11696,Dante,Rothe
Production,11732,Sanjoy,Ranft
Customer Service,11732,Sanjoy,Ranft
Customer Service,11735,Amalendu,Picci
Sales,11746,Koichi,Marrakchi
Research,11751,Jiafu,Emiris
Production,11764,Sanjay,Anick
Development,11769,Chandrasekaran,Lampe
Research,11769,Chandrasekaran,Lampe
Development,11772,Gaurav,Penz
Marketing,11797,Chenxi,Thambidurai
Sales,11797,Chenxi,Thambidurai
Development,11810,Amabile,Bhattacharjee
Sales,11817,Niranjan,Markovitch
Development,11832,Arto,Zlotek
Development,11844,Shawna,Demeyer
Marketing,11853,Zeljko,Kusakabe
Sales,11857,Divier,Farrag
Customer Service,11864,Pradeep,Kriebel
Development,11871,Nalini,Sommen
Marketing,11872,Cheong,Riexinger
Development,11894,Mitchel,Validov
Sales,11897,Cordelia,Setlzner
Development,11906,Hideo,Boguraev
Production,11915,Miomir,Mawatari
Research,11931,Gunilla,Chiodo
Development,11933,Basil,Erman
Production,11949,Martijn,Harbusch
Development,11983,Jaana,Hedayat
Human Resources,11993,Marit,Dalphin
Sales,12011,Zhilian,Coorg
Marketing,12036,Mads,Ratzlaff
Sales,12036,Mads,Ratzlaff
Customer Service,12037,Arunas,Katzenelson
Production,12050,Yuchang,Tchuente
Human Resources,12062,Margareta,Worfolk
Development,12069,Ayonca,Burnard
Development,12070,Ger,Shokrollahi
Sales,12076,Karlis,Siprelle
Sales,12082,Xinan,Yamaashi
Human Resources,12089,Bilhanan,Socorro
Sales,12099,Nobuyoshi,Kuzuoka
Finance,12112,Satyanarayana,Avouris
Production,12122,Satoru,Krone
Research,12123,Xiahua,Syrzycki
Production,12125,Shounak,Erman
Development,12125,Shounak,Erman
Sales,12149,Suebskul,Grandbois
Development,12159,Shem,Perly
Development,12165,Xiaobin,Maquelin
Quality Management,12183,Harngdar,Iisaku
Quality Management,12192,Feiyu,Klyachko
Development,12205,Sushant,Rossi
Development,12206,Barton,Janetzko
Quality Management,12218,Yaghout,Strooper
Development,12221,Vincent,Melter
Finance,12222,Abdelwaheb,Holburn
Production,12223,Niteen,Koyama
Development,12247,Subbu,Penttonen
Development,12249,Eldridge,Sadowski
Human Resources,12256,Guadalupe,Reghbati
Development,12264,Mart,Pagter
Research,12270,Shakhar,Kornyak
Human Resources,12272,Behnaam,Grandbois
Finance,12308,Mototsugu,Cronau
Human Resources,12308,Mototsugu,Cronau
Development,12311,Susanne,Lubachevsky
Development,12327,DAIDA,Bruckman
Development,12341,Rasiah,Luga
Production,12343,Sorina,Slaats
Customer Service,12343,Sorina,Slaats
Production,12365,Kamakshi,Bisiani
Sales,12373,Mooi,Driscoll
Finance,12395,Sanjit,Felder
Sales,12399,Mihalis,Luga
Sales,12411,Shao,Ibel
Production,12413,Hugh,Gadepally
Production,12417,Dannz,Spelt
Human Resources,12422,Berhard,Demos
Sales,12454,Kerryn,Farris
Sales,12464,Shai,Milicic
Development,12475,Filipe,Roison
Finance,12487,Mona,Reghbati
Human Resources,12487,Mona,Reghbati
Development,12489,Arnould,Munck
Development,12490,Jackson,Muchinsky
Sales,12497,Stein,Penz
Finance,12501,Morrie,Matheson
Production,12504,Adly,Rosaz
Development,12514,Tomofumi,Melter
Customer Service,12528,Conor,Cincotta
Production,12534,Yongmao,Gerlach
Sales,12541,Shih,Nanard
Human Resources,12542,Kazuhide,Bouloucos
Production,12551,Jeane,Tzvieli
Human Resources,12553,Aral,Vesna
Production,12557,Stafford,Kopetz
Quality Management,12557,Stafford,Kopetz
Development,12589,Anoosh,Chleq
Human Resources,12596,Breannda,Roisin
Development,12601,Ghassan,Simkin
Human Resources,12608,Nectarios,Mondadori
Production,12635,Xinyu,Restivo
Customer Service,12635,Xinyu,Restivo
Development,12638,Yuqun,Seiwald
Marketing,12642,Suebskul,Gips
Sales,12651,Pragnesh,Bael
Development,12662,Leucio,Alvarado
Development,12663,Nobuyoshi,Stellhorn
Sales,12664,Zhonghua,Parveen
Customer Service,12664,Zhonghua,Parveen
Development,12689,Luerbio,Boudaillier
Production,12691,Oddvar,Gils
Human Resources,12697,Uri,Brizzi
Development,12709,Ronghao,Botman
Research,12717,Tzu,Jiafu
Finance,12722,Elliott,Cheshire
Development,12726,Fumitake,Panwar
Production,12729,Nahla,Rahier
Customer Service,12729,Nahla,Rahier
Human Resources,12731,Yongmao,Waymire
Sales,12732,Mara,Takanami
Development,12734,Gil,Frijda
Human Resources,12755,Rildo,Rodite
Development,12773,Jenwei,Lovengreen
Sales,12790,Gunilla,Perl
Finance,12795,Masoud,Fordan
Sales,12798,Lillian,Beeson
Marketing,12803,Gad,Boissier
Sales,12803,Gad,Boissier
Research,12815,Sushant,Junot
Production,12819,Mountaz,Gubsky
Development,12848,Kazuhide,Smeets
Production,12863,Leif,Matheson
Sales,12872,Marl,Schmittgen
Development,12879,Baruch,Eugenio
Sales,12890,Neven,Casley
Sales,12893,Licheng,Crouzet
Production,12895,Roddy,Serot
Development,12905,Munehiro,Gecsei
Research,12926,Heekeun,Luby
Development,12940,Odinaldo,Farrar
Development,12941,Tommaso,Perelgut
Development,12949,Geoff,Asrin
Development,12977,Byong,Markovitch
Finance,12983,Elliott,Hambrick
Marketing,13030,Yahiko,Kroll
Finance,13046,Vivian,Stafford
Development,13047,Atilio,Chelton
Marketing,13075,Rosella,Morrin
Sales,13075,Rosella,Morrin
Development,13076,Deniz,Skafidas
Quality Management,13096,Ibibia,Armand
Development,13103,Srinidhi,Ellozy
Sales,13124,Quingbo,Garnick
Marketing,13133,Guther,Senzako
Customer Service,13133,Guther,Senzako
Production,13134,Lorien,Chepyzhov
Finance,13144,Persi,Nollmann
Sales,13146,Haldon,Erie
Sales,13147,Shichao,Ginesta
Development,13156,Akeel,Millington
Quality Management,13165,Lucian,Benner
Production,13168,Munir,Stentiford
Finance,13170,Cheong,Bernardeschi
Human Resources,13170,Cheong,Bernardeschi
Quality Management,13171,Anoosh,Birnbaum
Sales,13173,Arve,Horswill
Sales,13179,Moty,Janocha
Production,13182,Kokou,Rodite
Sales,13186,Kyoichi,Barbanera
Production,13192,Rosita,Flowers
Development,13192,Rosita,Flowers
Research,13202,Aram,Scharstein
Marketing,13210,Jianhua,Klassen
Sales,13210,Jianhua,Klassen
Sales,13213,Hein,Billawala
Development,13232,Mitchel,Fujisaki
Development,13233,Alselm,Chvatal
Sales,13238,Ebru,Foote
Development,13240,King,Pileggi
Production,13250,Zeydy,Schusler
Customer Service,13272,Arun,Jiang
Finance,13276,Yechiam,Seuren
Human Resources,13288,Muneo,Broomell
Development,13291,Georg,Stamatiou
Development,13302,Mack,Alencar
Development,13315,Sakthirel,Stroustrup
Production,13332,Nidapan,Pearson
Production,13333,Yoshinari,Hennebert
Development,13333,Yoshinari,Hennebert
Marketing,13341,Bodh,Doering
Finance,13343,Heon,Usery
Human Resources,13343,Heon,Usery
Human Resources,13368,Kiyokazu,Klassen
Production,13371,Nakhoon,Riexinger
Finance,13373,Juichirou,Naumovich
Human Resources,13373,Juichirou,Naumovich
Human Resources,13385,Claudi,Buchter
Development,13386,Khosrow,Sgarro
Research,13389,Divine,Cmelik
Sales,13392,Fumitake,Beidas
Customer Service,13396,Chuanyi,Aumann
Development,13402,Augustine,Dulli
Research,13402,Augustine,Dulli
Sales,13405,Randy,Baba
Production,13407,Gio,Chenoweth
Production,13408,Sreekrishna,Lagarias
Quality Management,13415,Nathalie,Speer
Production,13422,Vishwani,Gerlach
Quality Management,13422,Vishwani,Gerlach
Human Resources,13442,Giordano,Miake
Quality Management,13443,Mayuko,Puppo
Production,13445,Renee,Dehkordi
Human Resources,13451,Gretta,Weiland
Quality Management,13457,Shooichi,Parfitt
Production,13458,Feipei,Nivat
Customer Service,13458,Feipei,Nivat
Production,13463,Theron,Berstel
Production,13465,Sasan,Rehfuss
Development,13493,Uinam,Jullig
Development,13504,Parto,Mandell
Sales,13524,Chaoyi,Porotnikoff
Production,13535,Arunas,Schlenzig
Production,13546,Aimee,Brookner
Development,13549,Matk,Koprowski
Research,13552,Ingmar,Capobianchi
Development,13576,Jungsoon,Engberts
Research,13576,Jungsoon,Engberts
Sales,13605,Dmitry,Encarnacion
Development,13621,Fei,Haddadi
Human Resources,13624,Zhigen,Yurek
Development,13629,Dzung,Trelles
Production,13648,Zejun,Lamba
Human Resources,13653,Kristen,Iivonen
Development,13670,Moti,Takanami
Sales,13680,Denny,Speer
Development,13685,Weicheng,Hockney
Development,13697,Shuichi,Weedon
Production,13704,Vishu,Kumaresan
Sales,13721,Sugwoo,Delgrossi
Human Resources,13727,Vitali,Merey
Development,13738,Bangqing,Mitchem
Customer Service,13766,Tremaine,Heemskerk
Sales,13769,Yakichi,Trogemann
Sales,13775,Arve,Maierhofer
Sales,13786,Takushi,Berendt
Production,13787,Xiaobin,Sinicrope
Finance,13792,Valery,Sury
Development,13796,Paloma,Thorelli
Customer Service,13809,Kiyotoshi,Basagni
Production,13815,Guadalupe,Plotkin
Production,13825,Arlette,Pell
Production,13841,Christophe,Spinelli
Quality Management,13841,Christophe,Spinelli
Research,13842,Juichirou,Cichocki
Research,13846,Guiseppe,Welham
Research,13853,Mingsen,Roohalamini
Development,13859,Anoosh,Fujisawa
Production,13884,Kensei,Swift
Production,13894,Ult,Schonegge
Development,13904,Youngkon,Cairo
Development,13934,Shiv,Bratsberg
Development,13942,Elzbieta,Esteva
Sales,13951,Mooi,Genther
Finance,13960,Nechama,Hettesheimer
Production,13962,Maris,Ghelli
Customer Service,13966,Boguslaw,Cooman
Development,13969,Jianwen,Chandrasekhar
Development,13990,Deborah,Schapiro
Finance,13992,Ulises,Kenevan
Human Resources,13999,Florian,Crouzet
Development,14005,Vojin,Stellhorn
Quality Management,14005,Vojin,Stellhorn
Production,14015,Manibrata,Picaronny
Quality Management,14015,Manibrata,Picaronny
Finance,14034,Aloys,Seghrouchni
Marketing,14041,Shan,DeMori
Production,14067,Godehard,Trachtenberg
Research,14088,Mori,Leslie
Marketing,14107,Xiahua,Rindone
Customer Service,14111,Leszek,Cummings
Customer Service,14118,Kasturi,Anido
Production,14167,Adas,Hertweck
Development,14191,Jiann,Luby
Research,14209,Masanao,Kusakabe
Production,14220,Tomofumi,Pargas
Development,14232,Masali,Bojadziev
Research,14236,Xuedong,Angiulli
Production,14237,Abdulla,Gerlach
Customer Service,14237,Abdulla,Gerlach
Customer Service,14242,Sudhanshu,Benaini
Production,14257,Kwok,Massonet
Customer Service,14257,Kwok,Massonet
Production,14290,Miyeon,Olivero
Research,14292,Susanna,Vigier
Production,14298,Chriss,Granlund
Sales,14310,Marlo,Leuchs
Production,14320,Sreenivas,Schaar
Development,14322,Shem,Kakkad
Production,14323,Golgen,Leslie
Customer Service,14323,Golgen,Leslie
Production,14340,Vitaly,Wixon
Production,14344,Otilia,Buescher
Sales,14354,Mong,Bojadziev
Research,14360,Janche,Erbe
Development,14372,Saniya,Srimani
Research,14372,Saniya,Srimani
Development,14384,Tomofumi,Holburn
Production,14422,Toshimo,Gadepally
Development,14434,Elvis,Maginnis
Quality Management,14439,Raimond,Woycyznski
Production,14460,Yagil,Lueh
Sales,14478,Munehiro,Boissier
Production,14481,Moti,Lammel
Development,14483,Supot,Marrevee
Production,14486,Indrajit,Birdsall
Human Resources,14498,Xiong,Selenyi
Production,14501,Taizo,Kroft
Finance,14509,Danil,Aloia
Marketing,14513,Samphel,Barreiro
Sales,14513,Samphel,Barreiro
Quality Management,14515,Kazuhisa,Versino
Sales,14516,Kristian,Underwood
Production,14518,Patricia,Peir
Finance,14522,Chuanyi,Ranta
Quality Management,14537,Babette,Engelmann
Development,14552,Ibibia,Snyers
Production,14556,Fatemeh,Zultner
Development,14560,Elrique,Driscoll
Development,14581,Gao,Condotta
Development,14582,Kiyokazu,Morrin
Customer Service,14600,Jayson,Cairo
Development,14603,Lech,Marquardt
Sales,14607,Suzette,Selvestrel
Production,14620,Jianhua,Erev
Sales,14621,Souichi,Wixon
Quality Management,14632,Gudjon,McClurg
Sales,14639,Arvind,Hempstead
Development,14640,Toshimori,Kornatzky
Development,14642,Florian,Kuhnemann
Development,14645,Laurentiu,Glinert
Sales,14648,IEEE,Lorys
Quality Management,14659,Sashi,Adachi
Human Resources,14675,Teunis,Angel
Production,14677,Herbert,Sifakis
Production,14683,Alois,Basart
Customer Service,14683,Alois,Basart
Development,14690,Yechezkel,Bellone
Customer Service,14693,Brewster,Stranks
Marketing,14710,Mahmut,Hainaut
Human Resources,14723,Constantino,Assaf
Finance,14724,Aron,Lemarechal
Production,14780,Marlo,Bruckman
Production,14785,Zhonghua,Kaiser
Customer Service,14785,Zhonghua,Kaiser
Development,14793,Stein,Uchoa
Customer Service,14814,Odysseas,Nishimukai
Development,14817,Gaurav,Masaki
Research,14817,Gaurav,Masaki
Development,14821,Oguz,Kilgore
Development,14839,Changho,Cronin
Development,14853,Taiji,Nergos
Development,14877,Arto,Meriste
Development,14879,Anyuan,Sigstam
Sales,14888,Temple,Barriga
Finance,14899,Alejandro,Casley
Sales,14899,Alejandro,Casley
Research,14906,Adil,Parveen
Production,14908,Kerhong,Flanders
Development,14908,Kerhong,Flanders
Development,14909,Mohan,Kamble
Production,14911,Xiaobin,Chelton
Development,14914,Gretta,Benzaken
Production,14915,Huican,Picco
Development,14923,Shuzo,Gyorkos
Human Resources,14928,Satoru,Mukaidono
Development,14941,Nathan,Lichtner
Quality Management,14942,Heon,Benveniste
Production,14949,Insup,Reinhart
Development,14954,Fox,Magliocco
Finance,14971,Fan,Simmen
Marketing,14983,Hyuckchul,Pouyioutas
Development,14993,Sanjay,Koblitz
Production,15005,Kiam,Sadowsky
Finance,15016,Woody,Gulik
Marketing,15018,Ramalingam,Prenel
Production,15019,Qingxiang,Shokrollahi
Quality Management,15019,Qingxiang,Shokrollahi
Customer Service,15029,Giordano,Koshino
Sales,15030,Rasikan,Nourani
Development,15036,Ziva,Delgrande
Customer Service,15049,Khun,Waymire
Production,15052,Flemming,Kranzdorf
Research,15055,Shrikanth,Sherertz
Development,15066,Tomokazu,Oaver
Production,15069,Manton,Siksek
Sales,15071,Ayonca,Couchot
Production,15075,Radoslaw,Rijsenbrij
Production,15077,Toshiki,Taubenfeld
Development,15082,Guadalupe,Zirintsis
Production,15087,Chirstian,Ushiama
Development,15089,Giri,Coney
Customer Service,15092,Remmert,Bahi
Production,15102,Luigi,Axelband
Marketing,15105,Sudhanshu,Itzigehl
Sales,15105,Sudhanshu,Itzigehl
Development,15114,Pantung,Honglei
Sales,15134,Arun,Luiz
Production,15145,Haldon,Servieres
Marketing,15151,Urs,Pouyioutas
Sales,15151,Urs,Pouyioutas
Sales,15176,Charlene,Sankaranarayanan
Development,15193,Neelam,Schach
Development,15196,Souichi,Duclos
Production,15202,Pranay,Irland
Development,15202,Pranay,Irland
Research,15208,Sudharsan,Shokrollahi
Finance,15218,Shuky,Conry
Human Resources,15228,Mona,Salvesen
Development,15230,Keiichiro,Suessmith
Development,15234,Jouko,Zhiwei
Development,15237,Reinhard,Sadowsky
Finance,15243,Mountaz,Famili
Marketing,15248,Edwin,Baar
Production,15253,Ayonca,Pardalos
Production,15269,Eric,Reghbati
Sales,15271,Shiv,Bernardeschi
Sales,15292,Miyeon,Lammel
Production,15324,Ziya,Lunn
Development,15329,Fan,Openshaw
Sales,15330,Jaroslava,Chinal
Quality Management,15337,Masaru,Radivojevic
Quality Management,15343,Chaosheng,Luce
Customer Service,15354,Chikara,Nyrup
Development,15365,Mikhail,Schiettecatte
Sales,15369,Premal,Penttonen
Development,15370,Chuanyi,Nilsson
Research,15370,Chuanyi,Nilsson
Sales,15372,Nahum,Broder
Finance,15375,Shuho,Manders
Development,15377,Shugo,Aumann
Sales,15382,Alassane,Siegrist
Development,15392,Pradeep,Markovitch
Research,15408,Maik,Penttonen
Marketing,15410,Wilmer,Kushner
Sales,15410,Wilmer,Kushner
Development,15412,Huai,Thiria
Finance,15438,Constantijn,Munoz
Research,15441,Arvind,Weisert
Development,15452,Kazuhira,Weedman
Sales,15454,Hongzue,Cesareni
Production,15470,Weiwu,Huhdanpaa
Sales,15474,Gilbert,Plumb
Production,15479,Zhenbing,Soicher
Development,15480,Kwok,Trogemann
Development,15504,Kasturi,Alpin
Production,15505,Collette,Mikschl
Development,15510,Inderjeet,Sethi
Sales,15511,George,Kowalchuk
Development,15518,Uno,Valtorta
Development,15525,Masadi,Cherinka
Finance,15534,Guozhong,Grabner
Production,15543,Mingdong,Staelin
Development,15548,Sanjai,Caine
Research,15548,Sanjai,Caine
Customer Service,15563,Constantino,Zykh
Marketing,15565,True,Muchinsky
Sales,15566,Baoqiu,Azuma
Production,15600,Mack,Perna
Sales,15601,Carrsten,Anily
Production,15651,Huan,Iwayama
Marketing,15656,Mohammad,Schaaf
Quality Management,15682,Hiroyasu,Przulj
Finance,15687,Dekang,Ambroszkiewicz
Development,15703,Chenye,Hanratty
Sales,15708,Reuven,Kushnir
Production,15714,Troy,Bala
Marketing,15715,Insup,Ibel
Sales,15715,Insup,Ibel
Marketing,15726,Zhilian,Parascandalo
Development,15739,Poorav,Bahr
Sales,15740,Stepehn,Pocchiola
Production,15750,Arumugam,Bresenham
Development,15765,Tonny,Taubenfeld
Production,15767,Baocai,Broomell
Marketing,15769,Pranay,Oskamp
Production,15788,Taegyun,Deyuan
Sales,15799,Manton,Gelosh
Finance,15809,Mingsen,Antonisse
Marketing,15819,Magdalena,Rajcani
Sales,15819,Magdalena,Rajcani
Development,15821,Aleksander,Antonakopoulos
Production,15846,Bowen,Litecky
Marketing,15861,Gio,Anido
Production,15866,Angel,Seiwald
Quality Management,15866,Angel,Seiwald
Production,15869,Guoxiang,Bala
Development,15876,Munehiro,Vakili
Production,15877,Yannik,Kroll
Production,15880,Miquel,Dechter
Development,15889,Sasan,Azumi
Production,15892,Lunjin,Pettis
Production,15901,Marsja,Fargier
Quality Management,15901,Marsja,Fargier
Research,15902,Kazuhide,Stille
Production,15905,DeForest,Petersohn
Production,15911,Shaibal,Viele
Customer Service,15911,Shaibal,Viele
Production,15934,Kensyu,Shinomoto
Sales,15938,Garnik,Covnot
Production,15942,Murthy,Rosca
Production,15943,Yakkov,Demke
Quality Management,15943,Yakkov,Demke
Production,15945,Hauke,Larfeldt
Development,15948,Karoline,Versino
Production,15955,Yuguang,Dratva
Development,15971,Arumugam,Aloia
Research,15977,King,Ballarin
Production,15978,Kaijung,Wielonsky
Quality Management,15978,Kaijung,Wielonsky
Development,15993,Yoshimitsu,Peir
Production,16000,Marek,Demos
Production,16018,Boutros,Papadias
Development,16019,Chaoyi,Heystek
Research,16019,Chaoyi,Heystek
Development,16025,Doowon,Luce
Production,16028,JiYoung,Takkinen
Finance,16033,Wayne,Spelt
Development,16052,Maria,Rodham
Sales,16066,Marsha,Penn
Finance,16068,Leandro,Zongker
Development,16076,Marko,Ebeling
Development,16077,Kannan,Heemskerk
Development,16086,Mohammad,Denos
Development,16094,Berto,Rosar
Human Resources,16099,Mohan,Ferretti
Customer Service,16126,Tse,Crabtree
Development,16130,Kerryn,Belinskaya
Development,16134,Annemarie,Chaudhuri
Marketing,16138,Leucio,Krzyzanowski
Quality Management,16154,Monique,Docker
Development,16185,Marin,Winter
Production,16192,Leandro,Sigstam
Customer Service,16192,Leandro,Sigstam
Development,16201,Krassimir,Olano
Production,16227,Hitomi,Vural
Customer Service,16229,Ronnie,Lanzelotte
Production,16230,Ung,Babu
Customer Service,16230,Ung,Babu
Sales,16233,Sushant,Baba
Customer Service,16234,Jacopo,Basart
Production,16246,Makato,Masaki
Production,16252,Carrsten,Mattern
Sales,16266,Mikhail,Sethi
Development,16272,Shuho,Zeleznik
Research,16272,Shuho,Zeleznik
Finance,16274,Sadun,Navazio
Human Resources,16324,Billie,Bazzichi
Production,16337,Hironoby,Schaad
Research,16341,Boutros,Fendler
Sales,16355,Nikolaos,Luca
Sales,16364,Yifei,Gini
Research,16365,Janalee,Mellouli
Production,16377,Duri,Stanger
Customer Service,16380,Zhilian,Chleq
Production,16382,Chaoyi,Talmon
Production,16383,Lidong,Czap
Customer Service,16388,Subhankar,Georgatos
Finance,16397,Shimshon,Cusworth
Sales,16398,Limsoon,Krzyzanowski
Sales,16399,Apostol,Collette
Customer Service,16399,Apostol,Collette
Production,16404,Rafols,Rabehasaina
Production,16412,Moss,Tokunaga
Production,16425,Idoia,Beerel
Production,16438,Abdulla,Demeyer
Sales,16446,Jouko,Chinin
Production,16447,Zhiguo,Savasere
Development,16447,Zhiguo,Savasere
Development,16448,Tsvetan,Zwicker
Human Resources,16453,Goncalo,Basart
Research,16471,Bogdan,Birta
Finance,16479,Jixiang,Eiter
Research,16486,Sanjay,Perin
Sales,16487,Arunas,Yemenis
Sales,16490,Muzhong,Thiria
Customer Service,16491,Emdad,Radwan
Development,16504,Mong,Cromarty
Customer Service,16510,Mototsugu,Vecchio
Development,16537,Weidon,Seiwald
Production,16539,Gretta,Fetvedt
Development,16546,Sangeeta,Lanphier
